market,month,year,quantity,priceMin,priceMax,priceMod
AGRA(UP),July,2009,78750,639,748,679
AGRA(UP),July,2010,72110,772,888,846
AGRA(UP),July,2011,46270,751,851,808
AGRA(UP),July,2012,70690,666,754,716
AGRA(UP),July,2013,36280,1601,1716,1652
AGRA(UP),July,2014,22490,1677,1888,1846
AGRA(UP),July,2015,65450,1979,2364,2275
AGRA(UP),July,2016,106550,875,1051,984
AGRA(UP),August,2008,20300,622,768,719
AGRA(UP),August,2009,39180,734,831,783
AGRA(UP),August,2010,67390,818,942,891
AGRA(UP),August,2011,33400,947,1047,1003
AGRA(UP),August,2012,71320,722,821,775
AGRA(UP),August,2013,18270,3225,3513,3365
AGRA(UP),August,2014,45420,1625,1862,1802
AGRA(UP),August,2015,39030,2948,3464,3283
AGRA(UP),August,2016,133050,842,1007,903
AGRA(UP),September,2008,36930,653,925,843
AGRA(UP),September,2009,35706,810,901,851
AGRA(UP),September,2010,43055,1147,1272,1213
AGRA(UP),September,2011,20200,1240,1394,1331
AGRA(UP),September,2012,65360,726,808,766
AGRA(UP),September,2013,30740,4098,4357,4225
AGRA(UP),September,2014,46042,1539,1770,1675
AGRA(UP),September,2015,31830,3500,4468,4318
AGRA(UP),September,2016,147220,753,992,900
AGRA(UP),October,2008,35165,775,891,847
AGRA(UP),October,2009,29050,1198,1343,1272
AGRA(UP),October,2010,38920,1327,1492,1411
AGRA(UP),October,2011,30720,1330,1433,1381
AGRA(UP),October,2012,51748,781,874,827
AGRA(UP),October,2013,31800,4020,4384,4280
AGRA(UP),October,2014,43910,1641,1838,1775
AGRA(UP),October,2015,63215,2933,3844,3642
AGRA(UP),October,2016,122100,822,1003,940
AGRA(UP),November,2008,42750,867,1008,963
AGRA(UP),November,2009,37750,1220,1424,1316
AGRA(UP),November,2010,38705,1543,1674,1616
AGRA(UP),November,2011,44660,971,1105,1042
AGRA(UP),November,2012,36750,1029,1137,1085
AGRA(UP),November,2013,30120,3489,3718,3631
AGRA(UP),November,2014,63021,1520,1789,1675
AGRA(UP),November,2015,67530,2527,2960,2832
AGRA(UP),November,2016,71380,1028,1186,1121
AGRA(UP),December,2008,34400,1011,1140,1089
AGRA(UP),December,2009,43500,1170,1320,1242
AGRA(UP),December,2010,40465,2097,2377,2283
AGRA(UP),December,2011,47490,725,827,788
AGRA(UP),December,2012,44380,1223,1320,1274
AGRA(UP),December,2013,63600,1748,1943,1878
AGRA(UP),December,2014,74750,1450,1720,1623
AGRA(UP),December,2015,106360,1486,1953,1857
AGRA(UP),December,2016,51520,914,1509,1032
AHMEDABAD(GUJ),January,2008,97428,332,482,415
AHMEDABAD(GUJ),January,2009,77050,1031,1507,1250
AHMEDABAD(GUJ),January,2010,134394,796,1462,1202
AHMEDABAD(GUJ),January,2011,73739,1407,3243,2550
AHMEDABAD(GUJ),January,2012,111346,298,641,520
AHMEDABAD(GUJ),January,2013,112855,1150,1740,1490
AHMEDABAD(GUJ),January,2014,125617,773,1446,1233
AHMEDABAD(GUJ),January,2015,137027,829,1358,1158
AHMEDABAD(GUJ),January,2016,198390,646,1224,997
AHMEDABAD(GUJ),February,2008,66012,297,431,375
AHMEDABAD(GUJ),February,2009,54451,821,1325,1060
AHMEDABAD(GUJ),February,2010,127030,763,1209,1060
AHMEDABAD(GUJ),February,2011,98053,713,1135,974
AHMEDABAD(GUJ),February,2012,114550,261,539,405
AHMEDABAD(GUJ),February,2013,122794,1029,1878,1541
AHMEDABAD(GUJ),February,2014,120083,435,1025,833
AHMEDABAD(GUJ),February,2015,130766,1239,1886,1630
AHMEDABAD(GUJ),February,2016,173969,596,989,850
AHMEDABAD(GUJ),March,2008,46754,275,505,417
AHMEDABAD(GUJ),March,2009,64497,625,929,836
AHMEDABAD(GUJ),March,2010,100284,504,891,730
AHMEDABAD(GUJ),March,2011,114902,340,701,549
AHMEDABAD(GUJ),March,2012,133176,310,640,495
AHMEDABAD(GUJ),March,2013,129116,773,1280,1127
AHMEDABAD(GUJ),March,2014,173342,526,1090,888
AHMEDABAD(GUJ),March,2015,130950,1024,1513,1303
AHMEDABAD(GUJ),March,2016,144257,518,995,767
AHMEDABAD(GUJ),April,2008,67479,290,393,343
AHMEDABAD(GUJ),April,2009,58820,413,666,577
AHMEDABAD(GUJ),April,2010,126519,381,663,545
AHMEDABAD(GUJ),April,2011,120456,274,632,479
AHMEDABAD(GUJ),April,2012,117541,328,611,516
AHMEDABAD(GUJ),April,2013,156100,693,999,893
AHMEDABAD(GUJ),April,2014,108781,488,1082,841
AHMEDABAD(GUJ),April,2015,147551,861,1317,1135
AHMEDABAD(GUJ),April,2016,171914,482,902,745
AHMEDABAD(GUJ),May,2008,72641,197,318,268
AHMEDABAD(GUJ),May,2009,41723,344,581,506
AHMEDABAD(GUJ),May,2010,72604,355,613,518
AHMEDABAD(GUJ),May,2011,88893,248,628,470
AHMEDABAD(GUJ),May,2012,119054,273,541,456
AHMEDABAD(GUJ),May,2013,159374,565,956,840
AHMEDABAD(GUJ),May,2014,132951,581,1154,925
AHMEDABAD(GUJ),May,2015,145910,790,1442,1178
AHMEDABAD(GUJ),May,2016,161124,314,842,602
AHMEDABAD(GUJ),June,2008,55420,282,457,370
AHMEDABAD(GUJ),June,2009,26909,508,817,700
AHMEDABAD(GUJ),June,2010,99649,332,719,630
AHMEDABAD(GUJ),June,2011,99309,342,748,568
AHMEDABAD(GUJ),June,2012,111545,367,599,525
AHMEDABAD(GUJ),June,2013,103681,1061,1541,1350
AHMEDABAD(GUJ),June,2014,145488,760,1606,1202
AHMEDABAD(GUJ),June,2015,144342,1118,1942,1630
AHMEDABAD(GUJ),June,2016,176228,456,938,700
AHMEDABAD(GUJ),July,2008,59752,432,682,558
AHMEDABAD(GUJ),July,2009,56919,434,755,625
AHMEDABAD(GUJ),July,2010,93601,451,808,750
AHMEDABAD(GUJ),July,2011,100606,481,967,761
AHMEDABAD(GUJ),July,2012,130843,492,693,600
AHMEDABAD(GUJ),July,2013,109344,1800,2312,2128
AHMEDABAD(GUJ),July,2014,107333,1171,2144,1780
AHMEDABAD(GUJ),July,2015,114147,1470,2348,2004
AHMEDABAD(GUJ),July,2016,191818,444,994,753
AHMEDABAD(GUJ),August,2008,47279,409,888,663
AHMEDABAD(GUJ),August,2009,78366,569,783,674
AHMEDABAD(GUJ),August,2010,81022,638,984,886
AHMEDABAD(GUJ),August,2011,88332,526,1198,950
AHMEDABAD(GUJ),August,2012,98367,620,788,726
AHMEDABAD(GUJ),August,2013,66177,3105,4232,3808
AHMEDABAD(GUJ),August,2014,82915,995,1830,1538
AHMEDABAD(GUJ),August,2015,78103,2973,4327,3723
AHMEDABAD(GUJ),August,2016,190242,458,915,723
AHMEDABAD(GUJ),September,2008,29123,394,839,611
AHMEDABAD(GUJ),September,2009,72784,509,793,654
AHMEDABAD(GUJ),September,2010,79013,1018,1470,1299
AHMEDABAD(GUJ),September,2011,111020,650,1250,1038
AHMEDABAD(GUJ),September,2012,73750,518,751,659
AHMEDABAD(GUJ),September,2013,67185,3370,5068,4494
AHMEDABAD(GUJ),September,2014,99780,906,1744,1422
AHMEDABAD(GUJ),September,2015,85576,3033,4472,3840
AHMEDABAD(GUJ),September,2016,177154,348,657,532
AHMEDABAD(GUJ),October,2008,9422,325,825,675
AHMEDABAD(GUJ),October,2009,86515,854,1592,1263
AHMEDABAD(GUJ),October,2010,82070,1141,1693,1533
AHMEDABAD(GUJ),October,2011,78649,575,1063,873
AHMEDABAD(GUJ),October,2012,82346,630,966,857
AHMEDABAD(GUJ),October,2013,98858,1469,4845,3640
AHMEDABAD(GUJ),October,2014,94659,822,1719,1444
AHMEDABAD(GUJ),October,2015,147780,1530,3510,2594
AHMEDABAD(GUJ),October,2016,148332,305,815,570
AHMEDABAD(GUJ),November,2008,38904,489,1167,950
AHMEDABAD(GUJ),November,2009,94402,746,1801,1391
AHMEDABAD(GUJ),November,2010,76962,1193,2035,1783
AHMEDABAD(GUJ),November,2011,116916,596,1063,901
AHMEDABAD(GUJ),November,2012,86711,574,1421,1171
AHMEDABAD(GUJ),November,2013,93291,1905,4100,3451
AHMEDABAD(GUJ),November,2014,144941,813,1478,1217
AHMEDABAD(GUJ),November,2015,190213,1130,2313,1850
AHMEDABAD(GUJ),November,2016,177421,392,1110,746
AHMEDABAD(GUJ),December,2008,67107,771,1303,1121
AHMEDABAD(GUJ),December,2009,102284,769,1699,1314
AHMEDABAD(GUJ),December,2010,62270,1338,3272,2603
AHMEDABAD(GUJ),December,2011,98449,379,887,742
AHMEDABAD(GUJ),December,2012,101630,639,1540,1313
AHMEDABAD(GUJ),December,2013,88391,953,1983,1686
AHMEDABAD(GUJ),December,2014,132706,1231,2057,1733
AHMEDABAD(GUJ),December,2015,162758,1006,1582,1364
AHMEDABAD(GUJ),December,2016,199544,524,1024,827
AHMEDNAGAR(MS),January,2008,93516,70,628,428
AHMEDNAGAR(MS),January,2009,244158,363,1831,1117
AHMEDNAGAR(MS),January,2010,162913,255,1877,1093
AHMEDNAGAR(MS),January,2011,52405,567,5800,3500
AHMEDNAGAR(MS),January,2012,72784,100,600,325
AHMEDNAGAR(MS),January,2014,380582,108,1283,696
AHMEDNAGAR(MS),January,2015,368770,100,1921,999
AHMEDNAGAR(MS),January,2016,208751,175,1722,1138
AHMEDNAGAR(MS),February,2008,74747,92,449,289
AHMEDNAGAR(MS),February,2009,197202,288,1220,767
AHMEDNAGAR(MS),February,2010,150299,195,1334,813
AHMEDNAGAR(MS),February,2013,40000,1350,1825,1600
AHMEDNAGAR(MS),February,2014,371458,100,836,486
AHMEDNAGAR(MS),February,2015,382237,100,1886,989
AHMEDNAGAR(MS),February,2016,44756,100,1338,800
AHMEDNAGAR(MS),March,2008,11025,67,445,268
AHMEDNAGAR(MS),March,2009,149409,272,775,534
AHMEDNAGAR(MS),March,2010,131362,169,784,508
AHMEDNAGAR(MS),March,2011,84231,157,664,440
AHMEDNAGAR(MS),March,2014,453107,100,960,598
AHMEDNAGAR(MS),March,2015,295205,101,1514,821
AHMEDNAGAR(MS),April,2008,11400,50,350,250
AHMEDNAGAR(MS),April,2009,112894,230,583,410
AHMEDNAGAR(MS),April,2010,170695,117,643,408
AHMEDNAGAR(MS),April,2011,23339,100,610,425
AHMEDNAGAR(MS),April,2014,206546,90,1256,674
AHMEDNAGAR(MS),April,2015,339672,115,1484,805
AHMEDNAGAR(MS),April,2016,42342,150,938,538
AHMEDNAGAR(MS),May,2008,128711,50,358,205
AHMEDNAGAR(MS),May,2009,23248,150,650,400
AHMEDNAGAR(MS),May,2010,230659,135,725,424
AHMEDNAGAR(MS),May,2014,295747,100,1545,731
AHMEDNAGAR(MS),May,2015,311830,142,1933,1008
AHMEDNAGAR(MS),May,2016,68721,133,1067,617
AHMEDNAGAR(MS),June,2009,19071,157,850,533
AHMEDNAGAR(MS),June,2010,128207,194,823,550
AHMEDNAGAR(MS),June,2012,7626,100,650,375
AHMEDNAGAR(MS),June,2013,4464,300,1900,1100
AHMEDNAGAR(MS),June,2014,20450,100,2815,1325
AHMEDNAGAR(MS),June,2015,27865,500,2400,1450
AHMEDNAGAR(MS),June,2016,80488,100,1350,738
AHMEDNAGAR(MS),July,2009,46868,250,798,534
AHMEDNAGAR(MS),July,2010,141940,215,927,573
AHMEDNAGAR(MS),July,2013,9677,450,2538,1495
AHMEDNAGAR(MS),July,2014,111755,225,2688,1453
AHMEDNAGAR(MS),July,2015,39998,500,2550,1525
AHMEDNAGAR(MS),July,2016,111109,100,1133,742
AHMEDNAGAR(MS),August,2009,39388,200,851,528
AHMEDNAGAR(MS),August,2010,129048,270,1128,711
AHMEDNAGAR(MS),August,2013,12878,920,4670,3290
AHMEDNAGAR(MS),August,2014,153261,192,2429,1313
AHMEDNAGAR(MS),August,2015,15820,2258,6300,4383
AHMEDNAGAR(MS),August,2016,151691,100,1079,796
AHMEDNAGAR(MS),September,2008,25150,175,813,495
AHMEDNAGAR(MS),September,2009,69019,189,909,566
AHMEDNAGAR(MS),September,2010,85389,617,1979,1396
AHMEDNAGAR(MS),September,2013,72709,583,4308,2542
AHMEDNAGAR(MS),September,2014,129483,192,2248,1215
AHMEDNAGAR(MS),September,2015,6008,1600,5933,4617
AHMEDNAGAR(MS),September,2016,174429,133,950,715
AHMEDNAGAR(MS),October,2008,38550,150,928,550
AHMEDNAGAR(MS),October,2009,208976,464,1720,1159
AHMEDNAGAR(MS),October,2010,171626,580,1972,1271
AHMEDNAGAR(MS),October,2012,12978,200,1255,730
AHMEDNAGAR(MS),October,2013,269148,454,4910,2904
AHMEDNAGAR(MS),October,2014,6321,100,2400,1250
AHMEDNAGAR(MS),October,2015,86184,480,4266,3060
AHMEDNAGAR(MS),October,2016,149993,100,1013,730
AHMEDNAGAR(MS),November,2008,44581,400,1545,1033
AHMEDNAGAR(MS),November,2009,230313,425,2059,1246
AHMEDNAGAR(MS),November,2010,125571,408,2992,1813
AHMEDNAGAR(MS),November,2012,37442,150,1825,993
AHMEDNAGAR(MS),November,2013,184437,286,4045,2198
AHMEDNAGAR(MS),November,2014,229078,133,2147,1146
AHMEDNAGAR(MS),November,2015,266987,340,3390,2200
AHMEDNAGAR(MS),November,2016,98097,260,1700,1240
AHMEDNAGAR(MS),December,2008,285147,309,1477,923
AHMEDNAGAR(MS),December,2009,280094,292,2937,1587
AHMEDNAGAR(MS),December,2010,50323,800,5800,3363
AHMEDNAGAR(MS),December,2011,29522,100,750,425
AHMEDNAGAR(MS),December,2012,18707,300,1400,900
AHMEDNAGAR(MS),December,2013,230322,169,1889,1043
AHMEDNAGAR(MS),December,2014,474988,127,2249,1175
AHMEDNAGAR(MS),December,2015,303444,122,2208,1389
AHMEDNAGAR(MS),December,2016,159172,100,1320,1030
AIGINIA MANDIA (OR),August,2016,4950,1072,1261,1161
AIGINIA MANDIA (OR),September,2016,10200,1091,1291,1191
AIGINIA MANDIA (OR),October,2016,8200,1169,1369,1269
AIGINIA MANDIA (OR),November,2016,15700,1075,1275,1175
AIGINIA MANDIA (OR),December,2016,14500,1133,1333,1233
AJMER(RAJ),January,2015,2295,767,1567,1367
AJMER(RAJ),January,2016,4247,722,1067,939
AJMER(RAJ),February,2015,2838,1089,1711,1500
AJMER(RAJ),February,2016,4631,759,1209,982
AJMER(RAJ),March,2015,2395,1080,1820,1480
AJMER(RAJ),March,2016,5509,808,1033,963
AJMER(RAJ),April,2015,852,800,1300,1100
AJMER(RAJ),April,2016,7111,650,992,906
AJMER(RAJ),May,2016,8979,505,900,801
AJMER(RAJ),June,2015,3322,983,1800,1513
AJMER(RAJ),June,2016,9861,432,874,718
AJMER(RAJ),July,2015,5100,836,1907,1504
AJMER(RAJ),July,2016,6687,400,883,790
AJMER(RAJ),August,2015,6542,1525,3267,2658
AJMER(RAJ),August,2016,5267,411,900,800
AJMER(RAJ),September,2015,4574,2850,4861,4411
AJMER(RAJ),September,2016,3704,422,911,819
AJMER(RAJ),October,2015,4362,2500,3682,3155
AJMER(RAJ),October,2016,5026,400,875,829
AJMER(RAJ),November,2014,10603,800,1429,1186
AJMER(RAJ),November,2015,27320,1567,2506,2072
AJMER(RAJ),November,2016,13994,521,993,839
AJMER(RAJ),December,2014,1899,1114,1886,1657
AJMER(RAJ),December,2015,14609,853,1206,1034
AJMER(RAJ),December,2016,8892,667,1033,857
ALIGARH(UP),January,2015,14200,1683,1754,1717
ALIGARH(UP),January,2016,12350,1219,1298,1257
ALIGARH(UP),February,2015,13600,1583,1682,1632
ALIGARH(UP),February,2016,15850,1013,1103,1054
ALIGARH(UP),March,2015,12850,1648,1720,1685
ALIGARH(UP),March,2016,12350,1037,1134,1090
ALIGARH(UP),April,2015,8400,1405,1480,1442
ALIGARH(UP),April,2016,10250,1084,1174,1135
ALIGARH(UP),May,2015,14900,1306,1383,1346
ALIGARH(UP),May,2016,14600,924,1016,974
ALIGARH(UP),June,2015,12050,1591,1674,1634
ALIGARH(UP),June,2016,18700,893,983,942
ALIGARH(UP),July,2015,11630,1935,2024,1979
ALIGARH(UP),July,2016,14600,959,1057,1011
ALIGARH(UP),August,2015,5450,3237,3354,3303
ALIGARH(UP),August,2016,11550,1022,1122,1072
ALIGARH(UP),September,2015,7200,4352,4472,4413
ALIGARH(UP),September,2016,14500,928,1028,978
ALIGARH(UP),October,2015,2350,3522,3620,3570
ALIGARH(UP),October,2016,15300,960,1060,1010
ALIGARH(UP),November,2014,8750,1665,1742,1706
ALIGARH(UP),November,2015,5900,2428,2551,2503
ALIGARH(UP),November,2016,14150,1157,1257,1207
ALIGARH(UP),December,2014,9200,1519,1687,1650
ALIGARH(UP),December,2015,8900,1441,1524,1483
ALIGARH(UP),December,2016,27100,1070,1170,1121
ALLAHABAD(UP),May,2016,9800,1010,1036,1018
ALLAHABAD(UP),June,2016,25700,935,978,959
ALLAHABAD(UP),July,2016,3425,997,997,997
ALLAHABAD(UP),August,2016,4600,998,998,998
ALLAHABAD(UP),September,2016,15800,753,764,759
ALLAHABAD(UP),October,2016,10800,705,705,705
ALLAHABAD(UP),November,2016,18170,871,878,875
ALLAHABAD(UP),December,2016,26900,980,1001,990
ALWAR(RAJ),January,2010,30430,766,1260,941
ALWAR(RAJ),January,2011,26949,871,2493,1572
ALWAR(RAJ),January,2012,49327,143,378,247
ALWAR(RAJ),January,2013,54522,704,1255,977
ALWAR(RAJ),January,2014,51550,489,1124,806
ALWAR(RAJ),January,2015,124470,694,1050,867
ALWAR(RAJ),January,2016,9788,625,1200,912
ALWAR(RAJ),February,2010,2515,711,972,848
ALWAR(RAJ),February,2011,651,250,800,458
ALWAR(RAJ),February,2012,2094,196,331,263
ALWAR(RAJ),February,2013,2125,644,1448,1050
ALWAR(RAJ),February,2014,956,483,733,633
ALWAR(RAJ),February,2015,54790,924,1235,1097
ALWAR(RAJ),February,2016,6117,819,1066,942
ALWAR(RAJ),March,2010,292,1000,1200,1100
ALWAR(RAJ),March,2012,172,625,700,650
ALWAR(RAJ),March,2015,84530,1305,1725,1560
ALWAR(RAJ),March,2016,512,850,1150,1000
ALWAR(RAJ),April,2010,21209,528,783,645
ALWAR(RAJ),April,2011,5165,553,676,615
ALWAR(RAJ),April,2012,2191,570,730,665
ALWAR(RAJ),April,2015,69170,1117,1553,1370
ALWAR(RAJ),April,2016,1555,650,1000,825
ALWAR(RAJ),May,2010,16025,324,577,455
ALWAR(RAJ),May,2011,2403,469,613,513
ALWAR(RAJ),May,2012,12857,465,620,552
ALWAR(RAJ),May,2015,16257,1098,1442,1302
ALWAR(RAJ),May,2016,3325,600,875,738
ALWAR(RAJ),June,2010,13044,473,665,558
ALWAR(RAJ),June,2011,1869,510,640,570
ALWAR(RAJ),June,2012,2900,546,675,592
ALWAR(RAJ),June,2015,16447,804,1271,1075
ALWAR(RAJ),June,2016,5335,538,788,663
ALWAR(RAJ),July,2010,9760,543,747,635
ALWAR(RAJ),July,2011,2510,605,735,670
ALWAR(RAJ),July,2012,1872,643,764,707
ALWAR(RAJ),July,2013,28270,1425,1688,1563
ALWAR(RAJ),July,2016,5380,609,838,763
ALWAR(RAJ),August,2010,5521,628,974,795
ALWAR(RAJ),August,2011,1140,601,888,783
ALWAR(RAJ),August,2012,6815,596,750,665
ALWAR(RAJ),August,2013,3306,2865,3604,3248
ALWAR(RAJ),August,2014,1762,1300,2000,1680
ALWAR(RAJ),August,2016,5244,700,888,794
ALWAR(RAJ),September,2010,4041,954,1436,1198
ALWAR(RAJ),September,2011,1258,1138,1425,1294
ALWAR(RAJ),September,2012,3749,590,790,690
ALWAR(RAJ),September,2013,2129,2632,3979,3279
ALWAR(RAJ),September,2014,1641,1433,1967,1767
ALWAR(RAJ),September,2015,6389,2750,4627,3727
ALWAR(RAJ),September,2016,552,700,900,800
ALWAR(RAJ),October,2010,12425,839,1423,1118
ALWAR(RAJ),October,2011,13505,800,1404,1150
ALWAR(RAJ),October,2013,6660,2268,4571,3660
ALWAR(RAJ),October,2014,96879,967,1863,1414
ALWAR(RAJ),October,2015,3114,1900,3650,2775
ALWAR(RAJ),October,2016,2003,667,1067,867
ALWAR(RAJ),November,2010,220302,980,1968,1448
ALWAR(RAJ),November,2011,373311,406,944,649
ALWAR(RAJ),November,2012,208959,511,1325,807
ALWAR(RAJ),November,2013,126890,1660,3834,2721
ALWAR(RAJ),November,2014,323151,832,1596,1215
ALWAR(RAJ),November,2015,141919,1339,2100,1733
ALWAR(RAJ),November,2016,38074,504,1134,864
ALWAR(RAJ),December,2010,225581,1104,2712,1576
ALWAR(RAJ),December,2011,164516,257,570,423
ALWAR(RAJ),December,2012,264024,655,1219,931
ALWAR(RAJ),December,2013,202117,732,1684,1209
ALWAR(RAJ),December,2014,231319,981,1686,1333
ALWAR(RAJ),December,2015,109783,712,1282,999
ALWAR(RAJ),December,2016,135154,438,846,644
AMRITSAR(PB),January,2008,1700,575,650,625
AMRITSAR(PB),January,2009,3660,1379,1386,1381
AMRITSAR(PB),January,2010,4700,1431,1644,1544
AMRITSAR(PB),January,2011,9350,2603,3208,2929
AMRITSAR(PB),January,2012,8730,567,775,700
AMRITSAR(PB),January,2013,2800,1220,1840,1580
AMRITSAR(PB),January,2014,10650,912,1282,1100
AMRITSAR(PB),January,2015,29900,1041,1500,1285
AMRITSAR(PB),January,2016,24800,913,1308,1160
AMRITSAR(PB),February,2009,9350,1184,1261,1216
AMRITSAR(PB),February,2010,11200,1338,1527,1430
AMRITSAR(PB),February,2011,14700,1000,1277,1154
